congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
90,President,99903,99,0,USA,100,0,0,"JOHNSON, Lyndon Baines",J000160,1908,1973.0,-0.337,-0.035,-169.60194,0.694,464,75,,,
90,House,195,41,3,AL,100,0,1,"ANDREWS, George William",A000206,1906,1971.0,-0.03,1.0,-87.46422,0.775,343,41,,0.068,0.998
90,House,5058,41,8,AL,100,0,1,"JONES, Robert Emmett, Jr.",J000248,1912,1997.0,-0.358,0.866,-76.79452,0.801,346,29,,-0.316,0.693
90,House,8353,41,5,AL,100,0,1,"SELDEN, Armistead Inge, Jr.",S000232,1921,1985.0,-0.073,0.852,-114.313,0.688,306,60,,0.013,0.608
90,House,10706,41,6,AL,200,0,1,"BUCHANAN, John Hall, Jr.",B001008,1928,,0.146,-0.118,-214.50396,0.56,370,94,,0.379,-0.041
90,House,10717,41,2,AL,200,0,1,"DICKINSON, William Louis",D000326,1925,2008.0,0.398,-0.057,-106.46247,0.727,334,48,,0.391,0.264
90,House,10721,41,1,AL,200,0,1,"EDWARDS, William Jackson (Jack)",E000084,1928,,0.177,0.161,-118.14661,0.719,358,51,,0.263,0.267
90,House,11000,41,7,AL,100,0,1,"BEVILL, Tom",B000431,1921,2005.0,-0.213,0.976,-172.67168,0.62,361,76,,-0.032,0.806
90,House,11037,41,4,AL,100,0,1,"NICHOLS, William Flynt",N000095,1918,1988.0,-0.042,0.872,-95.64481,0.752,335,48,,0.006,0.826
90,House,11039,81,1,AK,200,0,1,"POLLOCK, Howard Wallace",P000415,1920,2011.0,0.095,0.05,-144.07495,0.623,304,58,,0.121,-0.093
90,House,7845,61,1,AZ,200,0,1,"RHODES, John Jacob",R000188,1916,2003.0,0.225,-0.033,-101.71165,0.742,341,47,,0.205,0.042
90,House,10566,61,2,AZ,100,0,1,"UDALL, Morris King",U000001,1922,1998.0,-0.387,0.008,-64.98204,0.826,339,27,,-0.434,0.103
90,House,11050,61,3,AZ,200,0,1,"STEIGER, Sam",S000846,1929,2012.0,0.447,0.246,-119.14527,0.728,375,53,,0.352,0.099
90,House,3506,42,1,AR,100,0,1,"GATHINGS, Ezekiel Candler",G000098,1903,1979.0,0.012,0.978,-113.44528,0.744,383,56,,0.063,0.998
90,House,6532,42,2,AR,100,0,1,"MILLS, Wilbur Daigh",M000778,1909,1992.0,-0.237,0.894,-135.03566,0.691,366,63,,-0.128,0.778
90,House,10791,42,4,AR,100,0,1,"PRYOR, David Hampton",P000556,1934,,-0.322,0.598,-140.44086,0.675,357,68,,-0.206,0.667
90,House,11020,42,3,AR,200,0,1,"HAMMERSCHMIDT, John Paul",H000124,1922,2015.0,0.253,0.239,-124.84679,0.717,376,59,,0.175,0.225
90,House,1911,71,7,CA,100,0,1,"COHELAN, Jeffery",C000596,1914,1999.0,-0.519,-0.268,-68.75902,0.825,358,27,,-0.576,-0.143
90,House,3867,71,10,CA,200,0,1,"GUBSER, Charles Samuel",G000512,1916,2011.0,0.205,-0.178,-119.86003,0.703,340,58,,0.153,-0.115
90,House,4514,71,19,CA,100,0,1,"HOLIFIELD, Chester Earl",H000713,1903,1995.0,-0.467,0.218,-49.97001,0.858,327,19,,-0.478,0.07
90,House,4592,71,32,CA,200,0,1,"HOSMER, Craig",H000802,1915,1982.0,0.276,-0.292,-137.58754,0.673,347,69,,0.214,-0.25
90,House,4957,71,2,CA,100,0,1,"JOHNSON, Harold Terry",J000135,1907,1988.0,-0.439,0.503,-63.26522,0.842,369,19,,-0.381,0.443
90,House,5255,71,17,CA,100,0,1,"KING, Cecil Rhodes",K000196,1898,1974.0,-0.468,0.144,-42.46443,0.84,243,16,,-0.47,0.357
90,House,5694,71,24,CA,200,0,1,"LIPSCOMB, Glenard Paul",L000344,1915,1970.0,0.358,-0.001,-101.41541,0.763,375,42,,0.343,0.108
